"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",1.07918124604762
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",1.39794000867204
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",1.41497334797082
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",1.32221929473392
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",1.32221929473392
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",1.55630250076729
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",1.68124123737559
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",1.5910646070265
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",1.6232492903979
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",1.6232492903979
