"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",3.4222614508136
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",3.64463550376815
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",3.81730087839332
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",3.79070728732768
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",3.39164070349239
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",3.43822580760453
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",3.33264041038746
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",3.58714949825434
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",3.38273726576133
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",3.44247976906445
