"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",3.37657695705651
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",3.066698550423
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",3.61468634228201
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",3.98190917009079
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",3.17955179116519
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",3.54826654517075
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",3.41178800454387
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",3.6707095952238
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",3.24204423936955
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",3.03462845662532
