"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",1.89762709129044
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",1.92941892571429
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",2
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",2.13353890837022
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",2.12385164096709
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",1.94939000664491
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",1.96848294855394
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",1.61278385671974
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",2.27415784926368
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",1.91381385238372
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",2.09342168516224
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",1.66275783168157
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",1.93951925261862
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",1.51851393987789
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",1.57978359661681
