"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",3.54182876678131
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",3.80543288813214
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",3.60010125569139
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",3.44669246637153
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",3.27852496473702
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",3.95698436774276
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",3.76237842931196
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",4.03108514803948
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",3.72394797643164
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",4.05514888988939
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",2.6159500516564
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",3.40619942366331
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",2.86093662070009
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",3.43039759138697
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",3.34044411484012
