"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_264_B",264,"WT","F","CCI","Vehicle","Baseline","PAN",3.59039594718401
"2","Villapol_265_B",265,"WT","F","CCI","Vehicle","Baseline","PAN",3.66067578833852
"3","Villapol_266_B",266,"WT","F","CCI","Vehicle","Baseline","PAN",3.31449922797315
"4","Villapol_267_B",267,"WT","F","CCI","Vehicle","Baseline","PAN",3.70867579272654
"5","Villapol_268_B",268,"WT","F","CCI","Vehicle","Baseline","PAN",3.24278980947868
"6","Villapol_269_B",269,"WT","F","CCI","Vehicle","Baseline","PAN",3.58069693971244
"7","Villapol_270_B",270,"WT","F","CCI","Vehicle","Baseline","PAN",3.5081255360832
"8","Villapol_271_B",271,"WT","F","CCI","Vehicle","Baseline","PAN",2.93951925261862
"9","Villapol_272_B",272,"WT","F","CCI","Vehicle","Baseline","PAN",3.67623621676331
"10","Villapol_273_B",273,"WT","F","CCI","Vehicle","Baseline","PAN",3.32633586092875
"11","Villapol_289_B",289,"WT","F","Sham","Vehicle","Baseline","PAN",3.5975855017522
"12","Villapol_290_B",290,"WT","F","Sham","Vehicle","Baseline","PAN",3.66162340922923
"13","Villapol_291_B",291,"WT","F","Sham","Vehicle","Baseline","PAN",3.43759203225396
"14","Villapol_292_B",292,"WT","F","Sham","Vehicle","Baseline","PAN",3.60108172778402
"15","Villapol_293_B",293,"WT","F","Sham","Vehicle","Baseline","PAN",3.43980621139333
