"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",2.03742649794062
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",1.98677173426624
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",1.88081359228079
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",2.02938377768521
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",1.43136376415899
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",1.47712125471966
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",1.63346845557959
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",1.73239375982297
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",1.66275783168157
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",2.07554696139253
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",2.05307844348342
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",1.75587485567249
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",2.06445798922692
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",2.05307844348342
