"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",3.58069693971244
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",3.68385720540035
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",3.47114496516063
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",3.57553421831986
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",3.27508089845686
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",3.51811894714315
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",3.53957788334531
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",3.40959501939682
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",3.56502092834529
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",3.75511226639507
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",3.99960895897142
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",3.85113599501157
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",3.73798732633343
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",4.01372177805106
