"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",1.39794000867204
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",1.46239799789896
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",1.6232492903979
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",1.88649072517248
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",1.44715803134222
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",1.36172783601759
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",1.50514997831991
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",1.47712125471966
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",1.5910646070265
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",1.84509804001426
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",1.61278385671974
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",1.56820172406699
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",1.91907809237607
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",1.50514997831991
