"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_254_B",254,"WT","M","CCI","Vehicle","Baseline","PAN",3.52633927738984
"2","Villapol_255_B",255,"WT","M","CCI","Vehicle","Baseline","PAN",3.6232492903979
"3","Villapol_256_B",256,"WT","M","CCI","Vehicle","Baseline","PAN",3.27114431794908
"4","Villapol_257_B",257,"WT","M","CCI","Vehicle","Baseline","PAN",3.36772854608698
"5","Villapol_258_B",258,"WT","M","CCI","Vehicle","Baseline","PAN",3.34163233577805
"6","Villapol_259_B",259,"WT","M","CCI","Vehicle","Baseline","PAN",3.33745926129066
"7","Villapol_260_B",260,"WT","M","CCI","Vehicle","Baseline","PAN",3.21005084987514
"8","Villapol_261_B",261,"WT","M","CCI","Vehicle","Baseline","PAN",3.41713940972733
"9","Villapol_262_B",262,"WT","M","CCI","Vehicle","Baseline","PAN",3.20574554094266
"10","Villapol_263_B",263,"WT","M","CCI","Vehicle","Baseline","PAN",3.43870053290074
"11","Villapol_284_B",284,"WT","M","Sham","Vehicle","Baseline","PAN",3.29181268746712
"12","Villapol_285_B",285,"WT","M","Sham","Vehicle","Baseline","PAN",2.78532983501077
"13","Villapol_286_B",286,"WT","M","Sham","Vehicle","Baseline","PAN",3.50160692241883
"14","Villapol_287_B",287,"WT","M","Sham","Vehicle","Baseline","PAN",3.83670379908973
"15","Villapol_288_B",288,"WT","M","Sham","Vehicle","Baseline","PAN",1.5910646070265
