"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",-1.10538716584226
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",-0.570263402108222
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",-0.911146256741622
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",-1.00375547063251
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",-0.647872870989726
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",-0.189343961909568
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",-0.20198423874248
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",-0.0722117275278218
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",-0.109219773648459
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",-0.0490337200785045
