"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",4.2832268865154
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",4.57324825990118
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",4.59361192941772
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",4.53214286849693
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",3.85418764523083
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",3.82642223481686
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",3.5097996910447
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",4.30665666699903
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",3.73381892572811
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",4.01500917653793
