"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_244",244,"WT","F","CCI","PAN","35d","PAN",0.346865163069426
"2","Villapol_35d_245",245,"WT","F","CCI","PAN","35d","PAN",1.43346631783592
"3","Villapol_35d_246",246,"WT","F","CCI","PAN","35d","PAN",0.887257755205102
"4","Villapol_35d_247",247,"WT","F","CCI","PAN","35d","PAN",0.700992621605914
"5","Villapol_35d_248",248,"WT","F","CCI","PAN","35d","PAN",2.5218127096877
"6","Villapol_35d_249",249,"WT","F","CCI","PAN","35d","PAN",2.09011871366362
"7","Villapol_35d_250",250,"WT","F","CCI","PAN","35d","PAN",1.9857390794696
"8","Villapol_35d_251",251,"WT","F","CCI","PAN","35d","PAN",2.62702784389223
"9","Villapol_35d_252",252,"WT","F","CCI","PAN","35d","PAN",2.01493860681317
"10","Villapol_35d_253",253,"WT","F","CCI","PAN","35d","PAN",2.0088353363472
