"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",3.56232711669405
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",2.96230983991458
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",4.52846739356583
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",5.18066776524816
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",3.62491241358236
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",4.45064504117763
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",3.83211828253519
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",4.65583738374971
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",3.7226199107368
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",3.05897131823473
