"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_35d_264",264,"WT","F","CCI","Vehicle","35d","PAN",0
"2","Villapol_35d_265",265,"WT","F","CCI","Vehicle","35d","PAN",0
"3","Villapol_35d_266",266,"WT","F","CCI","Vehicle","35d","PAN",0
"4","Villapol_35d_267",267,"WT","F","CCI","Vehicle","35d","PAN",0
"5","Villapol_35d_268",268,"WT","F","CCI","Vehicle","35d","PAN",0
"6","Villapol_35d_269",269,"WT","F","CCI","Vehicle","35d","PAN",0
"7","Villapol_35d_270",270,"WT","F","CCI","Vehicle","35d","PAN",0
"8","Villapol_35d_271",271,"WT","F","CCI","Vehicle","35d","PAN",0
"9","Villapol_35d_272",272,"WT","F","CCI","Vehicle","35d","PAN",0
"10","Villapol_35d_273",273,"WT","F","CCI","Vehicle","35d","PAN",0
