"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",0.483903437165568
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",0.271933050398059
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",0.475784610623475
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",0.790137451286872
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",0.673983937975002
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",0.376198831074493
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",0.81073085632545
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",-0.30563588985334
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",0.901853054871664
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",0.399064609866857
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",1.0790741006748
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",-0.0854233167633582
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",0.303258096528739
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",-0.3002950653048
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",-0.281818327172888
