"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",4.24994775992721
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",4.62015526246802
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",4.11381798448375
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",3.7346173821095
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",3.32489629099762
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",4.91113008785051
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",4.90863520684732
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",5.20564351194833
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",4.07888147412849
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",5.25690854759142
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",2.12413385341664
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",3.72460134701031
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",2.04786518740016
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",3.95596420504469
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",3.49954753054635
