"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_244_B",244,"WT","F","CCI","PAN","Baseline","PAN",-0.00160437861613261
"2","Villapol_245_B",245,"WT","F","CCI","PAN","Baseline","PAN",0.0752227561520051
"3","Villapol_246_B",246,"WT","F","CCI","PAN","Baseline","PAN",0.22447018234257
"4","Villapol_247_B",247,"WT","F","CCI","PAN","Baseline","PAN",0.459573651351826
"5","Villapol_248_B",248,"WT","F","CCI","PAN","Baseline","PAN",0.279818385120771
"6","Villapol_249_B",249,"WT","F","CCI","PAN","Baseline","PAN",-0.0580867155691633
"7","Villapol_250_B",250,"WT","F","CCI","PAN","Baseline","PAN",-0.0221782666096546
"8","Villapol_251_B",251,"WT","F","CCI","PAN","Baseline","PAN",-0.410996405511166
"9","Villapol_252_B",252,"WT","F","CCI","PAN","Baseline","PAN",0.538278888472659
"10","Villapol_253_B",253,"WT","F","CCI","PAN","Baseline","PAN",0.568963646662254
"11","Villapol_279_B",279,"WT","F","Sham","PAN","Baseline","PAN",0.471582364693344
"12","Villapol_280_B",280,"WT","F","Sham","PAN","Baseline","PAN",-0.281167893889454
"13","Villapol_281_B",281,"WT","F","Sham","PAN","Baseline","PAN",-0.717101995239622
"14","Villapol_282_B",282,"WT","F","Sham","PAN","Baseline","PAN",-1.12697363848927
"15","Villapol_283_B",283,"WT","F","Sham","PAN","Baseline","PAN",-0.714682409469167
