"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","gasseri"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",1.03352432147625
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",0.698963127490327
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",0.568490863275984
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",0.878991043016071
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",-0.462628512608946
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",-0.275403997429255
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",-0.233180474399112
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",0.273450407069089
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",-0.14379904888013
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",0.690859215268047
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",0.73216034479368
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",0.143449056580414
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",0.585091352009321
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",0.900418967217206
