"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",4.37866041612657
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",4.46823044010788
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",4.04970881424298
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",4.13506808871724
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",3.69024412154892
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",4.23325289533539
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",3.99360804783605
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",3.9774655371585
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",4.09711131935544
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",4.45907001208555
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",4.97276706568847
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",4.82486168293149
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",4.24534977103617
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",5.20083084081026
