"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_234_B",234,"WT","M","CCI","PAN","Baseline","PAN",-0.470553075300024
"2","Villapol_236_B",236,"WT","M","CCI","PAN","Baseline","PAN",-0.533180553802305
"3","Villapol_237_B",237,"WT","M","CCI","PAN","Baseline","PAN",-0.035425183556018
"4","Villapol_238_B",238,"WT","M","CCI","PAN","Baseline","PAN",0.546285289190335
"5","Villapol_239_B",239,"WT","M","CCI","PAN","Baseline","PAN",-0.424888184626099
"6","Villapol_240_B",240,"WT","M","CCI","PAN","Baseline","PAN",-0.551657374057414
"7","Villapol_241_B",241,"WT","M","CCI","PAN","Baseline","PAN",-0.536862888197335
"8","Villapol_242_B",242,"WT","M","CCI","PAN","Baseline","PAN",-0.329545676496559
"9","Villapol_243_B",243,"WT","M","CCI","PAN","Baseline","PAN",-0.312875378924064
"10","Villapol_274_B",274,"WT","M","Sham","PAN","Baseline","PAN",0.154281095399642
"11","Villapol_275_B",275,"WT","M","Sham","PAN","Baseline","PAN",-0.297459072387478
"12","Villapol_276_B",276,"WT","M","Sham","PAN","Baseline","PAN",-0.298383695698626
"13","Villapol_277_B",277,"WT","M","Sham","PAN","Baseline","PAN",0.246878470910325
"14","Villapol_278_B",278,"WT","M","Sham","PAN","Baseline","PAN",-0.384092699592742
