"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","Lactobacillus"
"1","Villapol_254_B",254,"WT","M","CCI","Vehicle","Baseline","PAN",3.9249376472605
"2","Villapol_255_B",255,"WT","M","CCI","Vehicle","Baseline","PAN",4.33196820147447
"3","Villapol_256_B",256,"WT","M","CCI","Vehicle","Baseline","PAN",3.45546705360383
"4","Villapol_257_B",257,"WT","M","CCI","Vehicle","Baseline","PAN",3.57968665988619
"5","Villapol_258_B",258,"WT","M","CCI","Vehicle","Baseline","PAN",3.56974131331959
"6","Villapol_259_B",259,"WT","M","CCI","Vehicle","Baseline","PAN",3.91890621950787
"7","Villapol_260_B",260,"WT","M","CCI","Vehicle","Baseline","PAN",3.26131854800714
"8","Villapol_261_B",261,"WT","M","CCI","Vehicle","Baseline","PAN",3.78721288522316
"9","Villapol_262_B",262,"WT","M","CCI","Vehicle","Baseline","PAN",3.14477200444382
"10","Villapol_263_B",263,"WT","M","CCI","Vehicle","Baseline","PAN",4.14847831712964
"11","Villapol_284_B",284,"WT","M","Sham","Vehicle","Baseline","PAN",3.57755031021302
"12","Villapol_285_B",285,"WT","M","Sham","Vehicle","Baseline","PAN",2.24958250233519
"13","Villapol_286_B",286,"WT","M","Sham","Vehicle","Baseline","PAN",4.38346545107992
"14","Villapol_287_B",287,"WT","M","Sham","Vehicle","Baseline","PAN",4.44429463418624
"15","Villapol_288_B",288,"WT","M","Sham","Vehicle","Baseline","PAN",-0.348818215210496
