"",".sample_name","MouseID","Genotype","Sex","Injury","Treatment","Timepoint","Project","helveticus"
"1","Villapol_254_B",254,"WT","M","CCI","Vehicle","Baseline","PAN",0
"2","Villapol_255_B",255,"WT","M","CCI","Vehicle","Baseline","PAN",0
"3","Villapol_256_B",256,"WT","M","CCI","Vehicle","Baseline","PAN",0
"4","Villapol_257_B",257,"WT","M","CCI","Vehicle","Baseline","PAN",0
"5","Villapol_258_B",258,"WT","M","CCI","Vehicle","Baseline","PAN",0
"6","Villapol_259_B",259,"WT","M","CCI","Vehicle","Baseline","PAN",0
"7","Villapol_260_B",260,"WT","M","CCI","Vehicle","Baseline","PAN",0
"8","Villapol_261_B",261,"WT","M","CCI","Vehicle","Baseline","PAN",0
"9","Villapol_262_B",262,"WT","M","CCI","Vehicle","Baseline","PAN",0
"10","Villapol_263_B",263,"WT","M","CCI","Vehicle","Baseline","PAN",0
"11","Villapol_284_B",284,"WT","M","Sham","Vehicle","Baseline","PAN",0
"12","Villapol_285_B",285,"WT","M","Sham","Vehicle","Baseline","PAN",0
"13","Villapol_286_B",286,"WT","M","Sham","Vehicle","Baseline","PAN",0
"14","Villapol_287_B",287,"WT","M","Sham","Vehicle","Baseline","PAN",0
"15","Villapol_288_B",288,"WT","M","Sham","Vehicle","Baseline","PAN",0
