"","Label","ACETATE","PROPIONATE","ISOBUTYRATE","BUTYRATE","2-METHYL-BUTYRATE","ISOVALERATE","VALERATE","CAPROATE"
"274","SHAM-PAN","27631083","7128825","634158","2395933","200019","227392","203603","1086935"
"275","SHAM-PAN","14227690","973572","393648","528308","140589","183700","169967","1047746"
"276","SHAM-PAN","18428856","1678554","250322","661427","195205","222236","214396","985040"
"278","SHAM-PAN","37559832","11884587","1123936","7337780","346052","351175","428089","1119249"
"279","SHAM-PAN","20133553","3834501","716073","3402428","283474","253603","315079","1216953"
"280","SHAM-PAN","9752971","817779","355649","515842","83920","132578","161352","1003295"
"281","SHAM-PAN","19049355","3741858","395024","1366208","121458","136057","170483","1026185"
"282","SHAM-PAN","28092595","5185892","464490","1771137","97621","164898","222897","1279364"
"283","SHAM-PAN","13049674","752928","314098","547734","78441","121319","173528","1038438"
"284","SHAM-VEH","14478741","2271527","436740","967498","129430","189310","197575","1147011"
"285","SHAM-VEH","24182291","5366253","581779","1794055","145206","171451","215808","1084014"
"286","SHAM-VEH","18565005","2586099","379613","923110","99565","138659","181512","977027"
"287","SHAM-VEH","11112395","1559502","331494","573697","126748","148201","180653","965680"
"288","SHAM-VEH","15236345","4470538","413955","1509694","74541","137039","176518","950488"
"289","SHAM-VEH","14491515","1185794","346028","726183","98683","134205","187658","1070582"
"290","SHAM-VEH","17946036","2553941","445928","1147393","120182","152126","198365","1096118"
"291","SHAM-VEH","94280898","34857954","1788020","12601371","396472","433916","463171","1632516"
"293","SHAM-VEH","14055817","1611553","297735","644417","83053","98851","147232","911881"
"234","TBI-PAN","7874704","765671","230890","370999","68090","124333","144201","1069522"
"236","TBI-PAN","6684714","560613","187028","304362","61555","115516","157775","1091617"
"237","TBI-PAN","7919409","1357658","264183","658485","75174","179186","153448","893690"
"238","TBI-PAN","8106790","769173","240730","371643","73764","163041","156979","965253"
"239","TBI-PAN","5963745","628515","300379","467006","131449","164138","153054","1158672"
"240","TBI-PAN","12129449","994946","328317","524926","102602","167890","177542","1089281"
"241","TBI-PAN","17517609","4227105","427209","1416308","119820","200303","189014","1087403"
"242","TBI-PAN","8512523","874496","282987","433620","80596","148434","203406","1157517"
"244","TBI-PAN","11186601","1031729","264762","553928","97154","123759","177236","1111478"
"245","TBI-PAN","12001478","2272368","339150","938558","82423","133889","165562","976886"
"246","TBI-PAN","21839442","6630160","596241","2283908","126840","214479","243043","1309861"
"247","TBI-PAN","26909888","7921865","606545","3158520","179951","253494","268387","1354206"
"248","TBI-PAN","8514439","1137526","291686","559389","50717","217898","177893","963274"
"249","TBI-PAN","12959966","2859746","388825","1042221","76622","141309","195660","1082916"
"250","TBI-PAN","11890698","1425536","328744","653941","77413","148319","198085","1075686"
"251","TBI-PAN","17271009","4266907","417573","1551987","80657","146970","217942","1114717"
"252","TBI-PAN","11237030","2737888","355812","1041225","50323","209826","184364","1037891"
"253","TBI-PAN","7757703","576056","265205","360720","70645","178213","176559","1008426"
"254","TBI-VEH","22698026","6492340","488351","2227381","106412","198211","223550","1203852"
"255","TBI-VEH","15609727","1881237","312818","680697","86595","138882","169591","1045611"
"256","TBI-VEH","16730224","2669728","360716","1023129","122951","214103","219924","1190994"
"257","TBI-VEH","24086167","6530589","510236","2066218","122178","234801","194916","1068199"
"258","TBI-VEH","16749222","2378937","432066","919090","111084","213070","232306","1220902"
"259","TBI-VEH","18540832","848479","385580","568572","126125","209482","190983","1074877"
"260","TBI-VEH","12616461","871804","303899","394845","78415","135769","183230","1029668"
"261","TBI-VEH","16510649","3621318","400827","1357128","90692","186478","185155","1143659"
"262","TBI-VEH","18377616","4367954","396747","1486843","97276","262285","207516","1167054"
"263","TBI-VEH","6688540","670590","247248","369270","55602","153710","166620","896644"
"264","TBI-VEH","12051421","2099272","328511","948858","79136","174555","165635","1032012"
"265","TBI-VEH","13633473","1699834","386419","751292","77560","198059","205807","1224167"
"266","TBI-VEH","13739821","2647560","382913","1002227","90357","171135","210618","1214051"
"267","TBI-VEH","36337746","9274637","894732","3527503","195542","313288","297951","1412284"
"268","TBI-VEH","17875525","3525501","457546","1459329","81091","169415","225860","1131515"
"269","TBI-VEH","16320501","1601908","289670","638727","78102","165822","171613","1074226"
"270","TBI-VEH","11560538","1332710","267094","586229","57714","155783","149117","958965"
"271","TBI-VEH","13040024","633398","269287","391675","64723","118322","181359","1041534"
"272","TBI-VEH","17837843","1197781","335117","557197","82747","140655","191992","1195547"
"273","TBI-VEH","14128325","790325","333149","487735","77079","170511","198977","1170684"
