ASV_ID	arc_eval	bac_eval	euk_eval	mito_eval	eval_method
000075a2eaaca8cd4cb5c16882a3569a	1.2e-35	3.1e-87	NA	NA	barrnap:0.9
00035d1745dde252277c82ef06e6ed9c	4e-37	1.1e-96	NA	NA	barrnap:0.9
00057ba51a37a64cfb0626e82e02c8c2	1.5e-38	6.7e-102	NA	NA	barrnap:0.9
0015ebf826a2cf91ac109ee0848665d7	3.1e-39	2.9e-102	NA	NA	barrnap:0.9
00189348c10f4a2179c69fa5692e0cff	2e-41	2.1e-103	NA	NA	barrnap:0.9
001b7fcfc8f36774c83f9597759f3df5	8e-39	2.5e-95	NA	NA	barrnap:0.9
001cf0552aa2e88ea1a9ec1c0fb2771a	1.4e-33	9.1e-97	NA	NA	barrnap:0.9
003f62ff16f8a53ab14d8bc3280286d0	1e-35	9.9e-97	NA	NA	barrnap:0.9
00a013bd600619c92ebf91ae0f39a67c	1.8e-37	1.4e-101	NA	NA	barrnap:0.9
00b570b6867641e3dc10b32e29e54a48	3.5e-38	2.4e-91	NA	NA	barrnap:0.9
00c0760e1661c89dd0884d828fcfd126	2.1e-38	6.9e-100	NA	NA	barrnap:0.9
00c6cdda1e52d7e34a0af4a855c0ad80	2.7e-32	1.5e-92	NA	NA	barrnap:0.9
00f85675851d2d588f9d6008ebd4b3bf	4.4e-38	1.3e-96	NA	NA	barrnap:0.9
00fab4a5d45bfdd1585633462e4eb555	1.5e-40	9.2e-103	NA	NA	barrnap:0.9
010268c3a8b616d02e94f876ed4bfe67	3e-41	1.8e-98	NA	NA	barrnap:0.9
01081477ebb7654251ae56347fee093d	4.3e-36	3.9e-99	NA	NA	barrnap:0.9
0114f80fa36ced2342a74c05798cae0a	6.3e-40	2.3e-94	NA	NA	barrnap:0.9
011d5044fe59186ee235f66017cfbd7a	8.5e-35	9.1e-98	NA	NA	barrnap:0.9
0136f6b8a0194d8a0f9e184576055bd5	1.1e-39	1.1e-93	NA	NA	barrnap:0.9
013a9d1fbdaf849f72985181a811c7e5	8.9e-40	5.6e-102	NA	NA	barrnap:0.9
015ab7428f463c4506b330da6113a93b	2.1e-37	7.5e-96	NA	NA	barrnap:0.9
015fce940ae84eaab27e6baadbaee6cc	3.8e-39	5.4e-105	NA	NA	barrnap:0.9
01678dfea3d44ef92c10414aab382996	6.1e-37	3e-103	NA	NA	barrnap:0.9
0185cf11918b0d7ea9c758a765cd2436	1.6e-39	3.9e-101	NA	NA	barrnap:0.9
01928a081688e1996122c8ab34b8e1d7	4.4e-38	2.1e-102	NA	NA	barrnap:0.9
01a7fa25e0ca62d974e69f71bab7c8f2	2.5e-36	7.7e-97	NA	NA	barrnap:0.9
01c7b0bb71b616a4347df938f9e09167	3.7e-39	2.2e-98	4.6e-07	NA	barrnap:0.9
01e6604894cf176786a110558adf8daf	2.7e-35	6e-94	NA	NA	barrnap:0.9
01fd5a1265c395b2922f8b6c72dd68c5	5.2e-28	3.6e-92	NA	NA	barrnap:0.9
0208c9cf2f7bfb38b1fb0e693e066356	1.3e-36	3.5e-101	NA	NA	barrnap:0.9
021476cf0d77f51c59bbafbcad3a9d48	7.7e-37	7.6e-103	NA	NA	barrnap:0.9
02261cc7829ae97e9005d8a70cc30e25	2.5e-41	1.3e-100	NA	NA	barrnap:0.9
022bd7dda35d1fbccb8178703c18ddff	5.5e-36	6.4e-99	NA	NA	barrnap:0.9
024a932a11ea185c247fd9e75c372422	9.3e-40	5.9e-100	NA	NA	barrnap:0.9
026fe55c0c415f0f1940ab7d5c23c351	2e-38	9.8e-102	NA	NA	barrnap:0.9
027b83665ab83baae20b298f5a0b47ac	4.9e-35	5.7e-92	NA	NA	barrnap:0.9
027ce0502f6329428d6c344216b2428a	1e-41	1.7e-102	NA	NA	barrnap:0.9
028d8e31a329c47780bcf0257fb406a1	3.6e-40	4e-101	NA	NA	barrnap:0.9
0290cfdcb2b8111b6fb8ed0c870751e8	9.3e-39	1.3e-101	NA	NA	barrnap:0.9
02bdde0ed524ae5f8c4b4e567106b200	3.5e-36	4.2e-101	4.7e-07	NA	barrnap:0.9
02d570caa89ab4fca69682132ceb54e8	1e-38	7e-101	NA	NA	barrnap:0.9
02e1190d444d825fe02da659e1cd8af2	2.9e-38	3.3e-97	NA	NA	barrnap:0.9
02e4900bcea3bfa2667e45cbebf35a9b	4.3e-42	2.2e-100	NA	NA	barrnap:0.9
02e69a1ad13ae54c9a565f17a637b9aa	2.8e-36	4e-98	NA	NA	barrnap:0.9
02ed9616a3912dd27150828f788fcd7d	2e-36	2.9e-101	NA	NA	barrnap:0.9
03149711336d8f580566cb77756735f0	4.5e-37	1.5e-95	NA	NA	barrnap:0.9
0321d4d15644611c1f01bb2f5adace9c	5.3e-36	7e-105	NA	NA	barrnap:0.9
03275aae1daac1bc32b6a1abf604380d	4e-33	1.9e-91	NA	NA	barrnap:0.9
03329ebca562a1217004a99f0b23a705	2.9e-41	4.7e-93	NA	NA	barrnap:0.9
03390a869f90e5f6d246f4cb0303e452	7.3e-37	9.6e-97	NA	NA	barrnap:0.9
0345b54f6be74d16f8d6826c039540a5	3.5e-34	7.7e-97	NA	NA	barrnap:0.9
0349d6fb3388541fd4c4b519bbcfaee6	1.3e-35	4.8e-93	NA	NA	barrnap:0.9
03560f6cdcd3ff0e4e10e8e8b64e8cc4	5.8e-39	5.5e-101	NA	NA	barrnap:0.9
0374486fcb4f14e0388a70ac6e2a3374	1.1e-37	1.3e-100	NA	NA	barrnap:0.9
037b00126bfa01901492c57bafde690c	1.8e-34	1.4e-90	NA	NA	barrnap:0.9
0396f650527aa63c4686fb97d80a0f91	2e-42	2.7e-101	NA	NA	barrnap:0.9
03ab00dff6141e8202667f838c761461	1.6e-37	1.6e-101	NA	NA	barrnap:0.9
03d891264a82d7630006a0a6d3679bd0	9.8e-40	2.8e-94	NA	NA	barrnap:0.9
03ef5605caaa3c8577073d75c3483fea	6.2e-37	2.8e-99	NA	NA	barrnap:0.9
040b12339d6ab6b2b18e97e1053498f6	3.5e-41	3.9e-102	NA	NA	barrnap:0.9
040ebd7c5254e1ab08c57df1f0fd9c17	8.3e-37	3.9e-94	NA	NA	barrnap:0.9
040f399558ae6dc3cfac35c8b6862723	1e-29	1.3e-92	NA	NA	barrnap:0.9
0422ae9540bead0103061c50eedc35b6	2.1e-36	5.3e-98	NA	NA	barrnap:0.9
043600d8ccd5b4c74ac87030c4903b0b	3.7e-39	2.8e-98	NA	NA	barrnap:0.9
043d7a80ed7eeecb9ec3d6ff9067b01c	1.9e-37	1.8e-88	NA	NA	barrnap:0.9
044a92bc6c9cacf858a108c1995de622	1.5e-38	1.7e-99	NA	NA	barrnap:0.9
045ca9955689da0269c72cd11b849824	5.1e-38	2e-104	NA	NA	barrnap:0.9
045fb72dc93cb17b0360e667d7c345a2	1.6e-38	5.5e-103	NA	NA	barrnap:0.9
047fddf3e01a7d15d561787f2ca40ab9	4.3e-38	6.3e-95	NA	NA	barrnap:0.9
0486ca2bf4f1bb253feed4b32a432e2e	8.9e-42	3.9e-106	NA	NA	barrnap:0.9
04902936c19246f770148759e5128561	3e-37	6.4e-99	NA	NA	barrnap:0.9
049f184ccd981ec5370d74485333f9db	8.6e-39	2.4e-100	NA	NA	barrnap:0.9
